Address,Type,Size,Result,Year,Month,Day,x,y
"Haksan-ri, Gujeong-myeon, Gangneung-si, Gangwon-do, South Korea",Swine,50,Negative,2010,12,23,366704.0473,469381.5325
"Geoma-ri, Yangyang-eup, Yangyang-gun, Gangwon-do, South Korea",Cattle,3,Negative,2010,12,22,339301.8591,510915.2309
"Chuibyeong-ri, Munmak-eup, Wonju-si, Gangwon-do, South Korea",Cattle,98,Positive,2010,12,22,269635.7147,425678.5235
"Heungyang-ri, Socho-myeon, Wonju-si, Gangwon-do, South Korea",Cattle,125,Negative,2010,12,23,289964.0683,431136.6146
"Naedae-ri, Galmal-eup, Cheorwon-gun, Gangwon-do, South Korea",Cattle,23,Negative,2010,12,22,226545.1412,522610.7256
"Gwanu-ri, Dongsong-eup, Cheorwon-gun, Gangwon-do, South Korea",Cattle,280,Positive,2010,12,24,220054.7454,529811.6485
"Gajeong-ri, Nam-myeon, Chuncheon-si, Gangwon-do, South Korea",Cattle,25,Positive,2010,12,22,251014.4794,473011.5139
"Sin-ri, Daehwa-myeon, Pyeongchang-gun, Gangwon-do, South Korea",Cattle,27,Positive,2010,12,21,329509.8833,451064.9832
"Myeongwol-ri, Sanae-myeon, Hwacheon-gun, Gangwon-do, South Korea",Cattle,5,Positive,2010,12,21,245958.2454,513427.7159
"Yuhyeon-ri, Seowon-myeon, Hoengseong-gun, Gangwon-do, South Korea",Cattle2,96,Positive,2010,12,23,276499.8933,448568.0127
"Hagung-ri, Ucheon-myeon, Hoengseong-gun, Gangwon-do, South Korea",Cattle,7,Negative,2010,12,23,300347.1063,444549.9673
"Jogok-ri, Hoengseong-eup, Hoengseong-gun, Gangwon-do, South Korea",Cattle,56,Negative,2010,12,23,290411.422,444277.4832
"Hakgok-ri, Hoengseong-eup, Hoengseong-gun, Gangwon-do, South Korea",Cattle,27,Positive,2010,12,22,284269.4829,445525.4176
"Hakgok-ri, Hoengseong-eup, Hoengseong-gun, Gangwon-do, South Korea",Cattle,55,Positive,2010,12,23,284269.4829,445525.4176
"Sinha-ri, Ha-myeon, Gapyeong-gun, Gyeonggi-do, South Korea",Cattle,55,Positive,2010,12,20,232262.9316,481451.2216
"Jungsan-dong, Ilsandong-gu, Goyang-si, Gyeonggi-do, South Korea",Cattle2,53,Positive,2010,12,19,180949.2039,465113.495
"Galsan-ri, Wolgot-myeon, Gimpo-si, Gyeonggi-do, South Korea",Swine,5000,Positive,2010,12,21,162028.6219,468115.4258
"Goyang-ri, Wolgot-myeon, Gimpo-si, Gyeonggi-do, South Korea",NA,0,Positive,2010,4,19,160050.0669,465848.3769
"Siu-ri, Joan-myeon, Namyangju-si, Gyeonggi-do, South Korea",Cattle,17,Negative,2010,12,17,225698.4338,454536.1683
"Sangsu-ri, Nam-myeon, Yangju-si, Gyeonggi-do, South Korea",Swine,1200,Positive,2010,12,14,199159.7353,485706.5177
"Sinae-ri, Yangpyeong-eup, Yangpyeong-gun, Gyeonggi-do, South Korea",Cattle,5,Positive,2010,12,26,244543.0179,446694.0937
"Angeum-ri, Ganam-myeon, Yeoju-gun, Gyeonggi-do, South Korea",Cattle,140,Positive,2010,12,25,253507.4422,413909.4245
"Nogok-ri, Baekhak-myeon, Yeoncheon-gun, Gyeonggi-do, South Korea",Swine,1200,Positive,2010,12,14,193992.1043,499552.2281
"Yangwon-ri, Jeongok-eup, Yeoncheon-gun, Gyeonggi-do, South Korea",Swine,10000,Positive,2010,12,21,202816.7444,497829.1756
